PSNR,SSIM
15.75,0.31
15.51,0.31
15.27,0.30
15.05,0.30
14.85,0.30
14.68,0.29
14.55,0.29
14.42,0.29
14.37,0.29
14.32,0.29
14.28,0.29
14.25,0.29
14.24,0.29
14.25,0.29
14.35,0.29
14.50,0.29
14.14,0.31
9.35,0.33
10.54,0.33
14.96,0.30
15.33,0.30
15.61,0.30
15.83,0.30
15.96,0.30
16.00,0.31
16.13,0.31
16.30,0.31
16.45,0.30
16.49,0.30
16.51,0.30
16.56,0.30
16.55,0.29
16.54,0.29
16.58,0.29
16.66,0.29
12.50,0.33
16.77,0.29
16.77,0.28
16.78,0.28
16.76,0.28
16.74,0.28
16.72,0.28
16.75,0.27
16.73,0.27
11.21,0.29
16.71,0.28
17.19,0.28
17.05,0.28
16.95,0.28
17.23,0.28
17.49,0.29
18.07,0.30
18.03,0.30
17.81,0.29
17.56,0.29
17.68,0.29
17.79,0.29
17.67,0.29
17.63,0.29
17.47,0.29
17.34,0.29
17.31,0.29
17.25,0.29
17.29,0.30
17.30,0.29
17.34,0.30
17.42,0.30
17.45,0.30
17.39,0.29
17.36,0.30
17.11,0.30
17.03,0.29
16.78,0.29
16.97,0.30
17.01,0.31
16.88,0.32
15.52,0.32
15.07,0.32
15.54,0.29
15.40,0.29
15.40,0.29
15.59,0.28
15.94,0.29
16.32,0.29
16.61,0.29
16.96,0.30
16.81,0.31
15.07,0.32
15.44,0.31
15.67,0.31
15.94,0.30
16.22,0.30
16.24,0.29
16.61,0.29
16.06,0.30
16.15,0.28
15.89,0.28
15.66,0.29
15.94,0.30
15.69,0.31
15.39,0.31
15.58,0.31
15.66,0.31
15.68,0.31
15.70,0.31
15.72,0.31
15.76,0.31
15.81,0.31
15.86,0.31
15.90,0.31
15.94,0.31
15.99,0.31
16.02,0.31
16.03,0.31
16.05,0.31
16.07,0.30
16.09,0.30
16.08,0.30
16.05,0.29
16.09,0.29
