PSNR,SSIM
16.77,0.29
16.84,0.29
16.87,0.29
16.89,0.29
16.88,0.29
16.86,0.28
16.84,0.29
16.82,0.28
16.88,0.28
16.91,0.28
16.85,0.28
16.76,0.28
16.67,0.28
16.62,0.27
16.65,0.28
16.72,0.28
16.50,0.30
10.63,0.34
11.71,0.32
16.84,0.28
16.80,0.28
16.82,0.28
16.83,0.28
16.79,0.28
16.80,0.27
17.02,0.28
16.85,0.28
16.95,0.28
17.02,0.28
17.01,0.28
16.99,0.28
16.98,0.27
16.98,0.27
17.06,0.27
17.12,0.28
13.16,0.33
17.13,0.28
17.12,0.28
17.07,0.28
17.01,0.28
17.07,0.28
17.13,0.28
17.20,0.28
17.39,0.28
11.69,0.30
17.43,0.29
17.31,0.28
17.39,0.29
17.45,0.28
17.65,0.29
17.78,0.29
17.91,0.29
17.87,0.29
17.72,0.29
17.54,0.29
17.62,0.29
17.75,0.29
17.72,0.29
17.71,0.30
17.60,0.30
17.45,0.30
17.43,0.30
17.34,0.30
17.47,0.30
17.48,0.30
17.42,0.30
17.45,0.30
17.52,0.30
17.45,0.30
17.38,0.30
17.23,0.30
17.23,0.30
16.96,0.30
17.20,0.31
17.33,0.33
17.11,0.33
16.78,0.33
16.14,0.31
15.68,0.30
15.56,0.30
15.61,0.30
15.81,0.30
16.20,0.30
16.58,0.30
16.82,0.30
16.96,0.30
17.06,0.30
17.27,0.30
17.26,0.29
17.33,0.29
17.47,0.29
17.72,0.29
17.47,0.29
17.62,0.30
17.26,0.32
17.52,0.30
17.47,0.30
17.31,0.30
17.26,0.30
17.11,0.30
17.12,0.30
17.23,0.31
17.23,0.30
17.26,0.30
17.26,0.30
17.25,0.30
17.26,0.30
17.25,0.30
17.25,0.30
17.24,0.31
17.25,0.31
17.27,0.30
17.29,0.30
17.35,0.31
17.34,0.31
17.31,0.30
17.32,0.30
17.30,0.30
17.28,0.30
17.27,0.30
